********************** GAME 1 **********************
Match 1 - |Avenger1 : 50| VS |Avenger2 : 50|
Match 2 - |Avenger1 : 50| VS |Avenger3 : 50|
Match 3 - |Avenger1 : 50| VS |Avenger4 : 50|
Match 4 - |Avenger1 : 50| VS |Avenger5 : 50|
Match 5 - |Avenger1 : 50| VS |Avenger6 : 50|
Match 6 - |Avenger1 : 50| VS |Avenger7 : 50|
Match 7 - |Avenger1 : 50| VS |Avenger8 : 50|
Match 8 - |Avenger1 : 50| VS |Avenger9 : 50|
Match 9 - |Avenger1 : 50| VS |Avenger10 : 50|
Match 10 - |Avenger1 : 23| VS |Copycat11 : 23|
Match 11 - |Avenger1 : 23| VS |Copycat12 : 23|
Match 12 - |Avenger1 : 23| VS |Copycat13 : 23|
Match 13 - |Avenger1 : 23| VS |Copycat14 : 23|
Match 14 - |Avenger1 : 23| VS |Copycat15 : 23|
Match 15 - |Avenger1 : 23| VS |Forgiver16 : 23|
Match 16 - |Avenger1 : 23| VS |Forgiver17 : 23|
Match 17 - |Avenger1 : 23| VS |Forgiver18 : 23|
Match 18 - |Avenger1 : 23| VS |Forgiver19 : 23|
Match 19 - |Avenger1 : 23| VS |Forgiver20 : 23|
Match 20 - |Avenger1 : 50| VS |Goody21 : 50|
Match 21 - |Avenger1 : 50| VS |Goody22 : 50|
Match 22 - |Avenger1 : 50| VS |Goody23 : 50|
Match 23 - |Avenger1 : 50| VS |Goody24 : 50|
Match 24 - |Avenger1 : 50| VS |Goody25 : 50|
Match 25 - |Avenger1 : -2| VS |Stinger26 : 7|
Match 26 - |Avenger1 : -2| VS |Stinger27 : 7|
Match 27 - |Avenger1 : -2| VS |Stinger28 : 7|
Match 28 - |Avenger1 : -2| VS |Stinger29 : 7|
Match 29 - |Avenger1 : -2| VS |Stinger30 : 7|
Match 30 - |Avenger1 : 0| VS |MyPlayerAvengerZero31 : 9|
Match 31 - |Avenger1 : 0| VS |MyPlayerAvengerZero32 : 9|
Match 32 - |Avenger1 : 0| VS |MyPlayerAvengerZero33 : 9|
Match 33 - |Avenger1 : 0| VS |MyPlayerAvengerZero34 : 9|
Match 34 - |Avenger1 : 0| VS |MyPlayerAvengerZero35 : 9|
Match 35 - |Avenger2 : 50| VS |Avenger3 : 50|
Match 36 - |Avenger2 : 50| VS |Avenger4 : 50|
Match 37 - |Avenger2 : 50| VS |Avenger5 : 50|
Match 38 - |Avenger2 : 50| VS |Avenger6 : 50|
Match 39 - |Avenger2 : 50| VS |Avenger7 : 50|
Match 40 - |Avenger2 : 50| VS |Avenger8 : 50|
Match 41 - |Avenger2 : 50| VS |Avenger9 : 50|
Match 42 - |Avenger2 : 50| VS |Avenger10 : 50|
Match 43 - |Avenger2 : 23| VS |Copycat11 : 23|
Match 44 - |Avenger2 : 23| VS |Copycat12 : 23|
Match 45 - |Avenger2 : 23| VS |Copycat13 : 23|
Match 46 - |Avenger2 : 23| VS |Copycat14 : 23|
Match 47 - |Avenger2 : 23| VS |Copycat15 : 23|
Match 48 - |Avenger2 : 23| VS |Forgiver16 : 23|
Match 49 - |Avenger2 : 23| VS |Forgiver17 : 23|
Match 50 - |Avenger2 : 23| VS |Forgiver18 : 23|
Match 51 - |Avenger2 : 23| VS |Forgiver19 : 23|
Match 52 - |Avenger2 : 23| VS |Forgiver20 : 23|
Match 53 - |Avenger2 : 50| VS |Goody21 : 50|
Match 54 - |Avenger2 : 50| VS |Goody22 : 50|
Match 55 - |Avenger2 : 50| VS |Goody23 : 50|
Match 56 - |Avenger2 : 50| VS |Goody24 : 50|
Match 57 - |Avenger2 : 50| VS |Goody25 : 50|
Match 58 - |Avenger2 : -2| VS |Stinger26 : 7|
Match 59 - |Avenger2 : -2| VS |Stinger27 : 7|
Match 60 - |Avenger2 : -2| VS |Stinger28 : 7|
Match 61 - |Avenger2 : -2| VS |Stinger29 : 7|
Match 62 - |Avenger2 : -2| VS |Stinger30 : 7|
Match 63 - |Avenger2 : 0| VS |MyPlayerAvengerZero31 : 9|
Match 64 - |Avenger2 : 0| VS |MyPlayerAvengerZero32 : 9|
Match 65 - |Avenger2 : 0| VS |MyPlayerAvengerZero33 : 9|
Match 66 - |Avenger2 : 0| VS |MyPlayerAvengerZero34 : 9|
Match 67 - |Avenger2 : 0| VS |MyPlayerAvengerZero35 : 9|
Match 68 - |Avenger3 : 50| VS |Avenger4 : 50|
Match 69 - |Avenger3 : 50| VS |Avenger5 : 50|
Match 70 - |Avenger3 : 50| VS |Avenger6 : 50|
Match 71 - |Avenger3 : 50| VS |Avenger7 : 50|
Match 72 - |Avenger3 : 50| VS |Avenger8 : 50|
Match 73 - |Avenger3 : 50| VS |Avenger9 : 50|
Match 74 - |Avenger3 : 50| VS |Avenger10 : 50|
Match 75 - |Avenger3 : 23| VS |Copycat11 : 23|
Match 76 - |Avenger3 : 23| VS |Copycat12 : 23|
Match 77 - |Avenger3 : 23| VS |Copycat13 : 23|
Match 78 - |Avenger3 : 23| VS |Copycat14 : 23|
Match 79 - |Avenger3 : 23| VS |Copycat15 : 23|
Match 80 - |Avenger3 : 23| VS |Forgiver16 : 23|
Match 81 - |Avenger3 : 23| VS |Forgiver17 : 23|
Match 82 - |Avenger3 : 23| VS |Forgiver18 : 23|
Match 83 - |Avenger3 : 23| VS |Forgiver19 : 23|
Match 84 - |Avenger3 : 23| VS |Forgiver20 : 23|
Match 85 - |Avenger3 : 50| VS |Goody21 : 50|
Match 86 - |Avenger3 : 50| VS |Goody22 : 50|
Match 87 - |Avenger3 : 50| VS |Goody23 : 50|
Match 88 - |Avenger3 : 50| VS |Goody24 : 50|
Match 89 - |Avenger3 : 50| VS |Goody25 : 50|
Match 90 - |Avenger3 : -2| VS |Stinger26 : 7|
Match 91 - |Avenger3 : -2| VS |Stinger27 : 7|
Match 92 - |Avenger3 : -2| VS |Stinger28 : 7|
Match 93 - |Avenger3 : -2| VS |Stinger29 : 7|
Match 94 - |Avenger3 : -2| VS |Stinger30 : 7|
Match 95 - |Avenger3 : 0| VS |MyPlayerAvengerZero31 : 9|
Match 96 - |Avenger3 : 0| VS |MyPlayerAvengerZero32 : 9|
Match 97 - |Avenger3 : 0| VS |MyPlayerAvengerZero33 : 9|
